# python -m cProfile myscript.py


    ncalls  tottime  percall  cumtime  percall filename:lineno(function) 
     4632   22.990    0.005  167.343    0.036 {filter}
        1    0.000    0.000    0.000    0.000 {function seed at 0x7f4d852715f0}
        4    0.000    0.000    0.000    0.000 {gc.disable}
        4    0.000    0.000    0.000    0.000 {gc.enable}
        4    0.000    0.000    0.000    0.000 {gc.isenabled}
      519    0.000    0.000    0.000    0.000 {getattr}
       73    0.000    0.000    0.000    0.000 {globals}
       12    0.000    0.000    0.000    0.000 {hasattr}
     2951    0.000    0.000    0.000    0.000 {isinstance}
    57/46    0.000    0.000    0.000    0.000 {issubclass}
286537958/286537695   15.256    0.000   15.256    0.000 {len}
        4    0.000    0.000    0.000    0.000 {map}
        1    0.000    0.000    0.000    0.000 {math.exp}
      231    0.000    0.000    0.000    0.000 {math.log}
        1    0.000    0.000    0.000    0.000 {math.sqrt}
    27938   27.250    0.001  157.831    0.006 {max}
       21    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        8    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        8    0.000    0.000    0.000    0.000 {method '__subclasshook__' of 'object' objects}
        2    0.000    0.000    0.000    0.000 {method 'acquire' of 'thread.lock' objects}
       41    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
    10211    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        2    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       41    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
      234    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
     3287    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      906    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
        5    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      124    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       21    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
     5238    0.000    0.000    0.000    0.000 {method 'issuperset' of 'set' objects}
      523    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       61    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
     1174    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      163    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        7    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       75    0.000    0.000    0.000    0.000 {method 'read' of 'cStringIO.StringI' objects}
        2    0.002    0.001    0.002    0.001 {method 'read' of 'file' objects}
        1    0.001    0.001    0.001    0.001 {method 'readline' of 'file' objects}
        1    0.000    0.000    0.000    0.000 {method 'release' of 'thread.lock' objects}
    23166    2.744    0.000    2.744    0.000 {method 'remove' of 'list' objects}
       12    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
     1163    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       19    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       19    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       17    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
   324129    0.289    0.000    0.289    0.000 {method 'split' of 'str' objects}
      139    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      297    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        6    0.002    0.000    0.002    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
      112    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       11    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
        2    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
    23103    3.761    0.000    3.761    0.000 {method 'write' of 'file' objects}
    24406    0.007    0.000    0.007    0.000 {min}
    23131    0.484    0.000    0.484    0.000 {numpy.core.multiarray.array}
       21    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
        2    0.000    0.000    0.000    0.000 {numpy.core.multiarray.set_string_function}
        1    0.000    0.000    0.000    0.000 {numpy.core.multiarray.set_typeDict}
     4157    0.047    0.000    0.047    0.000 {numpy.core.multiarray.zeros}
        6    0.000    0.000    0.000    0.000 {numpy.core.umath.geterrobj}
        3    0.000    0.000    0.000    0.000 {numpy.core.umath.seterrobj}
      272    0.000    0.000    0.000    0.000 {numpy.lib._compiled_base.add_docstring}
      651    0.000    0.000    0.000    0.000 {ord}
        4    0.000    0.000    0.000    0.000 {posix.WEXITSTATUS}
        4    0.000    0.000    0.000    0.000 {posix.WIFEXITED}
        4    0.000    0.000    0.000    0.000 {posix.WIFSIGNALED}
       12    0.000    0.000    0.000    0.000 {posix.close}
        4    0.000    0.000    0.000    0.000 {posix.fdopen}
        4    0.009    0.002    0.009    0.002 {posix.fork}
        1    0.000    0.000    0.000    0.000 {posix.getcwd}
        2    0.000    0.000    0.000    0.000 {posix.getpid}
        8    0.000    0.000    0.000    0.000 {posix.pipe}
        4    0.012    0.003    0.012    0.003 {posix.read}
        1    0.000    0.000    0.000    0.000 {posix.sysconf}
        2    0.000    0.000    0.000    0.000 {posix.urandom}
        6    0.000    0.000    0.000    0.000 {posix.waitpid}
      131    0.000    0.000    0.000    0.000 {range}
       47    0.000    0.000    0.000    0.000 {repr}
      230    0.000    0.000    0.000    0.000 {round}
       29    0.000    0.000    0.000    0.000 {setattr}
        1    0.000    0.000    0.000    0.000 {signal.signal}
      372    0.001    0.000    0.010    0.000 {sorted}
        2    0.000    0.000    0.000    0.000 {strop.maketrans}
       23    0.000    0.000    0.000    0.000 {sys._getframe}
        5    0.000    0.000    0.000    0.000 {thread.allocate_lock}
        2    0.000    0.000    0.000    0.000 {thread.get_ident}
        2    0.000    0.000    0.000    0.000 {zip}

